;;Total number of projects;Maximum number of projects in a client country;;Maximum number of projects in a provider country;;;;;;
;;785030;49195;;155501;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Client Country;Provider Country;Number collaborations;Sum number of projects in client country;Percent of maxiumum number of projects in a client country;Sum number of projects in provider country;Percentage of maximum number of projects in client country;Maximum number of collaboration between the client country and a provider country;Percentage of maxium collaborations for client country;Maximum number of collaboration between the provider country and a client country;Percentage of maxium collaborations for client country;
Puerto Rico;Chile;4;1027;2,1;493;0,32;211;1,9;293;1,37;
Puerto Rico;China;7;1027;2,1;7801;5,02;211;3,32;3871;0,18;
Puerto Rico;Colombia;1;1027;2,1;889;0,57;211;0,47;524;0,19;
Puerto Rico;Cote d'Ivoire (Ivory Coast);2;1027;2,1;12;0,01;211;0,95;3;66,67;
Puerto Rico;Croatia;1;1027;2,1;2778;1,79;211;0,47;1364;0,07;
Puerto Rico;Cyprus;1;1027;2,1;441;0,28;211;0,47;291;0,34;
Puerto Rico;Dominican Republic;2;1027;2,1;752;0,48;211;0,95;412;0,49;
Puerto Rico;Egypt;11;1027;2,1;17182;11,05;211;5,21;8809;0,12;
Puerto Rico;France;4;1027;2,1;3513;2,26;211;1,9;1601;0,25;
Puerto Rico;Germany ;5;1027;2,1;7974;5,13;211;2,37;3700;0,14;
Puerto Rico;Greece;5;1027;2,1;1848;1,19;211;2,37;844;0,59;
Puerto Rico;Guatemala;2;1027;2,1;187;0,12;211;0,95;95;2,11;
Puerto Rico;Hong Kong;10;1027;2,1;671;0,43;211;4,74;418;2,39;
Puerto Rico;Hungary;3;1027;2,1;1694;1,09;211;1,42;775;0,39;
Puerto Rico;India;211;1027;2,1;155501;100;211;100;80388;0,26;
Puerto Rico;Indonesia;1;1027;2,1;7742;4,98;211;0,47;4116;0,02;
Puerto Rico;Israel;1;1027;2,1;3125;2,01;211;0,47;1470;0,07;
Puerto Rico;Italy;3;1027;2,1;3404;2,19;211;1,42;969;0,31;
Puerto Rico;Kenya;5;1027;2,1;1637;1,05;211;2,37;818;0,61;
Puerto Rico;Kyrgyzstan;1;1027;2,1;1521;0,98;211;0,47;821;0,12;
Puerto Rico;Latvia;3;1027;2,1;655;0,42;211;1,42;255;1,18;
Puerto Rico;Malaysia;4;1027;2,1;3160;2,03;211;1,9;1760;0,23;
Puerto Rico;Malta;2;1027;2,1;393;0,25;211;0,95;190;1,05;
Puerto Rico;Mauritius;2;1027;2,1;223;0,14;211;0,95;113;1,77;
Puerto Rico;Mexico;3;1027;2,1;3465;2,23;211;1,42;1732;0,17;
Puerto Rico;Moldova;3;1027;2,1;3146;2,02;211;1,42;1541;0,19;
Puerto Rico;Mozambique;1;1027;2,1;24;0,02;211;0,47;10;10;
Puerto Rico;Nepal;2;1027;2,1;1861;1,2;211;0,95;1018;0,2;
Puerto Rico;New Zealand;3;1027;2,1;1482;0,95;211;1,42;827;0,36;
Puerto Rico;Nigeria;4;1027;2,1;909;0,58;211;1,9;444;0,9;
Puerto Rico;Norway;1;1027;2,1;779;0,5;211;0,47;348;0,29;
Puerto Rico;Oman;1;1027;2,1;306;0,2;211;0,47;125;0,8;
Puerto Rico;Pakistan;167;1027;2,1;72899;46,88;211;79,15;36757;0,45;
Puerto Rico;Peru;1;1027;2,1;919;0,59;211;0,47;498;0,2;
Puerto Rico;Philippines;17;1027;2,1;13478;8,67;211;8,06;7059;0,24;
Puerto Rico;Poland;3;1027;2,1;7145;4,59;211;1,42;3520;0,09;
Puerto Rico;Portugal;1;1027;2,1;2963;1,91;211;0,47;1682;0,06;
Puerto Rico;Qatar;1;1027;2,1;374;0,24;211;0,47;257;0,39;
Puerto Rico;Romania;129;1027;2,1;92390;59,41;211;61,14;48482;0,27;
Puerto Rico;Russian Federation;8;1027;2,1;28357;18,24;211;3,79;14718;0,05;
Puerto Rico;Serbia;3;1027;2,1;10957;7,05;211;1,42;5747;0,05;
Puerto Rico;Singapore;2;1027;2,1;2154;1,39;211;0,95;1182;0,17;
Puerto Rico;Spain;12;1027;2,1;4028;2,59;211;5,69;1948;0,62;
Puerto Rico;Sri Lanka;6;1027;2,1;6306;4,06;211;2,84;2884;0,21;
Puerto Rico;Sweden;4;1027;2,1;3060;1,97;211;1,9;1468;0,27;
Puerto Rico;Thailand;4;1027;2,1;1454;0,94;211;1,9;717;0,56;
Puerto Rico;Turkey;2;1027;2,1;4827;3,1;211;0,95;2421;0,08;
Puerto Rico;Ukraine;6;1027;2,1;27775;17,86;211;2,84;13875;0,04;
Puerto Rico;United Kingdom;52;1027;2,1;29927;19,25;211;24,64;14558;0,36;
Puerto Rico;United States;158;1027;2,1;105420;67,79;211;74,88;64074;0,25;
Puerto Rico;Venezuela;1;1027;2,1;613;0,39;211;0,47;31;3,23;
Puerto Rico;Vietnam;12;1027;2,1;9827;6,32;211;5,69;46;26,09;
Qatar;;8;410;0,8;0;0;103;7,77;1527;0,52;
Qatar;Argentina;4;410;0,8;12720;8,18;103;3,88;6839;0,06;
Qatar;Australia;5;410;0,8;9761;6,28;103;4,85;5051;0,1;
Qatar;Bangladesh;13;410;0,8;17468;11,23;103;12,62;8416;0,15;
Qatar;Brazil;4;410;0,8;4834;3,11;103;3,88;2612;0,15;
Qatar;Bulgaria;4;410;0,8;9387;6,04;103;3,88;4695;0,09;
Qatar;Canada;14;410;0,8;25485;16,39;103;13,59;14440;0,1;
Qatar;China;3;410;0,8;7801;5,02;103;2,91;3871;0,08;
Qatar;Czech Republic;1;410;0,8;1181;0,76;103;0,97;692;0,14;
Qatar;Egypt;20;410;0,8;17182;11,05;103;19,42;8809;0,23;
Qatar;France;1;410;0,8;3513;2,26;103;0,97;1601;0,06;
Qatar;Georgia;1;410;0,8;503;0,32;103;0,97;258;0,39;
Qatar;Germany ;1;410;0,8;7974;5,13;103;0,97;3700;0,03;
Qatar;India;103;410;0,8;155501;100;103;100;80388;0,13;
Qatar;Indonesia;6;410;0,8;7742;4,98;103;5,83;4116;0,15;
Qatar;Israel;2;410;0,8;3125;2,01;103;1,94;1688;0,12;
Qatar;Jordan;1;410;0,8;864;0,56;103;0,97;438;0,23;
Qatar;Kyrgyzstan;1;410;0,8;1521;0,98;103;0,97;821;0,12;
Qatar;Lithuania;2;410;0,8;1867;1,2;103;1,94;958;0,21;
Qatar;Malaysia;4;410;0,8;3160;2,03;103;3,88;1760;0,23;
Qatar;Mexico;3;410;0,8;3465;2,23;103;2,91;1732;0,17;
Qatar;Moldova;2;410;0,8;3146;2,02;103;1,94;1541;0,13;
Qatar;Mongolia;1;410;0,8;331;0,21;103;0,97;169;0,59;
Qatar;Morocco;2;410;0,8;1112;0,72;103;1,94;517;0,39;
Qatar;Nepal;1;410;0,8;1861;1,2;103;0,97;1018;0,1;
Qatar;Netherlands;1;410;0,8;3487;2,24;103;0,97;1579;0,06;
Qatar;Nigeria;1;410;0,8;909;0,58;103;0,97;444;0,23;
Qatar;Norway;1;410;0,8;779;0,5;103;0,97;348;0,29;
Qatar;Pakistan;32;410;0,8;72899;46,88;103;31,07;36757;0,09;
Qatar;Philippines;3;410;0,8;13478;8,67;103;2,91;7059;0,04;
Qatar;Poland;2;410;0,8;7145;4,59;103;1,94;3520;0,06;
Qatar;Romania;39;410;0,8;92390;59,41;103;37,86;48482;0,08;
Qatar;Russian Federation;23;410;0,8;28357;18,24;103;22,33;218;10,55;
Qatar;Serbia;3;410;0,8;10957;7,05;103;2,91;68;4,41;
Qatar;Singapore;2;410;0,8;2154;1,39;103;1,94;1182;0,17;
Qatar;Slovakia;1;410;0,8;631;0,41;103;0,97;306;0,33;
Qatar;Slovenia;1;410;0,8;630;0,41;103;0,97;332;0,3;
Qatar;Spain;7;410;0,8;4028;2,59;103;6,8;1948;0,36;
Qatar;Sri Lanka;2;410;0,8;6306;4,06;103;1,94;2884;0,07;
Qatar;Sweden;5;410;0,8;3060;1,97;103;4,85;1468;0,34;
Qatar;Switzerland;1;410;0,8;736;0,47;103;0,97;333;0,3;
Qatar;Thailand;2;410;0,8;1454;0,94;103;1,94;717;0,28;
Qatar;Tunisia;2;410;0,8;1968;1,27;103;1,94;825;0,24;
Qatar;Turkey;1;410;0,8;4827;3,1;103;0,97;2421;0,04;
Qatar;Ukraine;23;410;0,8;27775;17,86;103;22,33;13875;0,17;
Qatar;United Arab Emirates;1;410;0,8;2335;1,5;103;0,97;1226;0,08;
Qatar;United Kingdom;11;410;0,8;29927;19,25;103;10,68;14558;0,08;
Qatar;United States;36;410;0,8;105420;67,79;103;34,95;64074;0,06;
Qatar;Vietnam;3;410;0,8;9827;6,32;103;2,91;4529;0,07;
Romania;;4;6574;13,4;0;0;1370;0,29;1527;0,26;
Romania;Afghanistan;1;6574;13,4;41;0,03;1370;0,07;16;6,25;
Romania;Algeria;3;6574;13,4;202;0,13;1370;0,22;89;3,37;
Romania;Argentina;80;6574;13,4;12720;8,18;1370;5,84;6839;1,17;
Romania;Armenia;8;6574;13,4;1985;1,28;1370;0,58;1066;0,75;
Romania;Australia;58;6574;13,4;9761;6,28;1370;4,23;5051;1,15;
Romania;Austria;2;6574;13,4;602;0,39;1370;0,15;279;0,72;
Romania;Azerbaijan;6;6574;13,4;823;0,53;1370;0,44;493;1,22;
Romania;Bangladesh;232;6574;13,4;17468;11,23;1370;16,93;8416;2,76;
Romania;Barbados;1;6574;13,4;15;0,01;1370;0,07;7;14,29;
Romania;Belarus ;17;6574;13,4;3044;1,96;1370;1,24;1391;1,22;
Romania;Belgium ;18;6574;13,4;1653;1,06;1370;1,31;853;2,11;
Romania;Bolivia;1;6574;13,4;134;0,09;1370;0,07;55;1,82;
Romania;Bosnia and Herzegowina;14;6574;13,4;1563;1,01;1370;1,02;800;1,75;
Romania;Brazil;27;6574;13,4;4834;3,11;1370;1,97;2612;1,03;
Romania;Bulgaria;48;6574;13,4;9387;6,04;1370;3,5;4695;1,02;
Romania;Cambodia ;1;6574;13,4;189;0,12;1370;0,07;91;1,1;
Romania;Canada;121;6574;13,4;25485;16,39;1370;8,83;8500;1,42;
Romania;Chile;2;6574;13,4;493;0,32;1370;0,15;34;5,88;
Romania;China;72;6574;13,4;7801;5,02;1370;5,26;3871;1,86;
Romania;Colombia;10;6574;13,4;889;0,57;1370;0,73;524;1,91;
Romania;Croatia;20;6574;13,4;2778;1,79;1370;1,46;1364;1,47;
Romania;Cyprus;3;6574;13,4;441;0,28;1370;0,22;291;1,03;
Romania;Czech Republic;15;6574;13,4;1181;0,76;1370;1,09;692;2,17;
Romania;Denmark;17;6574;13,4;702;0,45;1370;1,24;329;5,17;
Romania;Dominican Republic;9;6574;13,4;752;0,48;1370;0,66;412;2,18;
Romania;Ecuador;2;6574;13,4;790;0,51;1370;0,15;459;0,44;
Romania;Egypt;197;6574;13,4;17182;11,05;1370;14,38;8809;2,24;
Romania;El Salvador;1;6574;13,4;260;0,17;1370;0,07;155;0,65;
Romania;Estonia;4;6574;13,4;800;0,51;1370;0,29;438;0,91;
Romania;Finland;11;6574;13,4;808;0,52;1370;0,8;318;3,46;
Romania;Former Yugoslav Republic Of Macedonia;16;6574;13,4;1198;0,77;1370;1,17;624;2,56;
Romania;France;40;6574;13,4;3513;2,26;1370;2,92;1601;2,5;
Romania;Georgia;6;6574;13,4;503;0,32;1370;0,44;258;2,33;
Romania;Germany ;110;6574;13,4;7974;5,13;1370;8,03;3700;2,97;
Romania;Ghana;1;6574;13,4;95;0,06;1370;0,07;53;1,89;
Romania;Greece;38;6574;13,4;1848;1,19;1370;2,77;844;4,5;
Romania;Guatemala;1;6574;13,4;187;0,12;1370;0,07;95;1,05;
Romania;Hong Kong;4;6574;13,4;671;0,43;1370;0,29;418;0,96;
Romania;Hungary;12;6574;13,4;1694;1,09;1370;0,88;775;1,55;
Romania;Iceland;1;6574;13,4;66;0,04;1370;0,07;33;3,03;
Romania;India;1096;6574;13,4;155501;100;1370;80;80388;1,36;
Romania;Indonesia;60;6574;13,4;7742;4,98;1370;4,38;4116;1,46;
Romania;Ireland;10;6574;13,4;925;0,59;1370;0,73;477;2,1;
Romania;Israel;18;6574;13,4;3125;2,01;1370;1,31;1688;1,07;
Romania;Italy;45;6574;13,4;3404;2,19;1370;3,28;1452;3,1;
Romania;Jamaica;9;6574;13,4;233;0,15;1370;0,66;107;8,41;
Romania;Japan;16;6574;13,4;705;0,45;1370;1,17;359;4,46;
Romania;Jordan;8;6574;13,4;864;0,56;1370;0,58;438;1,83;
Romania;Kazakhstan;1;6574;13,4;253;0,16;1370;0,07;147;0,68;
Romania;Kenya;4;6574;13,4;1637;1,05;1370;0,29;818;0,49;
Romania;Korea;1;6574;13,4;127;0,08;1370;0,07;33;3,03;
Romania;Kyrgyzstan;6;6574;13,4;1521;0,98;1370;0,44;11;54,55;
Romania;Latvia;7;6574;13,4;655;0,42;1370;0,51;255;2,75;
Romania;Lebanon;5;6574;13,4;1029;0,66;1370;0,36;544;0,92;
Romania;Lithuania;6;6574;13,4;1867;1,2;1370;0,44;958;0,63;
Romania;Malaysia;20;6574;13,4;3160;2,03;1370;1,46;1760;1,14;
Romania;Malta;2;6574;13,4;393;0,25;1370;0,15;190;1,05;
Romania;Mauritius;2;6574;13,4;223;0,14;1370;0,15;113;1,77;
Romania;Mexico;22;6574;13,4;3465;2,23;1370;1,61;1732;1,27;
Romania;Moldova;33;6574;13,4;3146;2,02;1370;2,41;1541;2,14;
Romania;Mongolia;4;6574;13,4;331;0,21;1370;0,29;169;2,37;
Romania;Morocco;5;6574;13,4;1112;0,72;1370;0,36;517;0,97;
Romania;Myanmar;1;6574;13,4;118;0,08;1370;0,07;56;1,79;
Romania;Nepal;11;6574;13,4;1861;1,2;1370;0,8;1018;1,08;
Romania;Netherlands;28;6574;13,4;3487;2,24;1370;2,04;1579;1,77;
Romania;New Zealand;2;6574;13,4;1482;0,95;1370;0,15;827;0,24;
Romania;Nigeria;8;6574;13,4;909;0,58;1370;0,58;444;1,8;
Romania;Northern Mariana Islands;1;6574;13,4;10;0,01;1370;0,07;3;33,33;
Romania;Norway;15;6574;13,4;779;0,5;1370;1,09;348;4,31;
Romania;Pakistan;614;6574;13,4;72899;46,88;1370;44,82;36757;1,67;
Romania;Palestine;7;6574;13,4;206;0,13;1370;0,51;104;6,73;
Romania;Panama;2;6574;13,4;47;0,03;1370;0,15;28;7,14;
Romania;Peru;7;6574;13,4;919;0,59;1370;0,51;498;1,41;
Romania;Philippines;102;6574;13,4;13478;8,67;1370;7,45;7059;1,44;
Romania;Poland;60;6574;13,4;7145;4,59;1370;4,38;3520;1,7;
Romania;Portugal;28;6574;13,4;2963;1,91;1370;2,04;1682;1,66;
Romania;Romania;1370;6574;13,4;92390;59,41;1370;100;48482;2,83;
Romania;Russian Federation;201;6574;13,4;28357;18,24;1370;14,67;14718;1,37;
Romania;Saint Vincent and the Grenadines;2;6574;13,4;81;0,05;1370;0,15;29;6,9;
Romania;Saudi Arabia;3;6574;13,4;645;0,41;1370;0,22;335;0,9;
Romania;Serbia;148;6574;13,4;10957;7,05;1370;10,8;5747;2,58;
Romania;Serbia + Montenegro (old);4;6574;13,4;699;0,45;1370;0,29;393;1,02;
Romania;Singapore;10;6574;13,4;2154;1,39;1370;0,73;1182;0,85;
Romania;Slovakia;14;6574;13,4;631;0,41;1370;1,02;306;4,58;
Romania;Slovenia;4;6574;13,4;630;0,41;1370;0,29;112;3,57;
Romania;South Africa;11;6574;13,4;2355;1,51;1370;0,8;806;1,36;
Romania;Spain;38;6574;13,4;4028;2,59;1370;2,77;1948;1,95;
Romania;Sri Lanka;97;6574;13,4;6306;4,06;1370;7,08;2884;3,36;
Romania;Swaziland;3;6574;13,4;18;0,01;1370;0,22;9;33,33;
Romania;Sweden;32;6574;13,4;3060;1,97;1370;2,34;1468;2,18;
Romania;Switzerland;11;6574;13,4;736;0,47;1370;0,8;333;3,3;
Romania;Syrian Arab Republic;1;6574;13,4;360;0,23;1370;0,07;137;0,73;
Romania;Tajikistan;2;6574;13,4;48;0,03;1370;0,15;36;5,56;
Romania;Thailand;2;6574;13,4;1454;0,94;1370;0,15;717;0,28;
Romania;Tunisia;27;6574;13,4;1968;1,27;1370;1,97;825;3,27;
Romania;Turkey;46;6574;13,4;4827;3,1;1370;3,36;2421;1,9;
Romania;Ukraine;204;6574;13,4;27775;17,86;1370;14,89;13875;1,47;
Romania;United Arab Emirates;14;6574;13,4;2335;1,5;1370;1,02;1226;1,14;
Romania;United Kingdom;217;6574;13,4;29927;19,25;1370;15,84;14558;1,49;
Romania;United States;524;6574;13,4;105420;67,79;1370;38,25;64074;0,82;
Romania;Uruguay;8;6574;13,4;1500;0,96;1370;0,58;923;0,87;
Romania;Venezuela;1;6574;13,4;613;0,39;1370;0,07;382;0,26;
Romania;Vietnam;79;6574;13,4;9827;6,32;1370;5,77;4529;1,74;
Romania;Zimbabwe;1;6574;13,4;92;0,06;1370;0,07;40;2,5;
Russian Federation;;4;1572;3,2;0;0;218;1,83;1527;0,26;
Russian Federation;Algeria;1;1572;3,2;202;0,13;218;0,46;89;1,12;
Russian Federation;Argentina;15;1572;3,2;12720;8,18;218;6,88;6839;0,22;
Russian Federation;Armenia;5;1572;3,2;1985;1,28;218;2,29;1066;0,47;
Russian Federation;Australia;12;1572;3,2;9761;6,28;218;5,5;5051;0,24;
Russian Federation;Austria;2;1572;3,2;602;0,39;218;0,92;279;0,72;
Russian Federation;Bangladesh;42;1572;3,2;17468;11,23;218;19,27;8416;0,5;
Russian Federation;Belarus ;7;1572;3,2;3044;1,96;218;3,21;1391;0,5;
Russian Federation;Belgium ;4;1572;3,2;1653;1,06;218;1,83;853;0,47;
Russian Federation;Bosnia and Herzegowina;2;1572;3,2;1563;1,01;218;0,92;800;0,25;
Russian Federation;Brazil;8;1572;3,2;4834;3,11;218;3,67;2612;0,31;
Russian Federation;Bulgaria;18;1572;3,2;9387;6,04;218;8,26;4695;0,38;
Russian Federation;Canada;44;1572;3,2;25485;16,39;218;20,18;14440;0,3;
Russian Federation;Chile;5;1572;3,2;493;0,32;218;2,29;293;1,71;
Russian Federation;China;28;1572;3,2;7801;5,02;218;12,84;123;22,76;
Russian Federation;Colombia;3;1572;3,2;889;0,57;218;1,38;160;1,88;
Russian Federation;Croatia;9;1572;3,2;2778;1,79;218;4,13;1364;0,66;
Russian Federation;Czech Republic;1;1572;3,2;1181;0,76;218;0,46;692;0,14;
Russian Federation;Ecuador;1;1572;3,2;790;0,51;218;0,46;459;0,22;
Russian Federation;Egypt;26;1572;3,2;17182;11,05;218;11,93;8809;0,3;
Russian Federation;El Salvador;6;1572;3,2;260;0,17;218;2,75;155;3,87;
Russian Federation;Finland;4;1572;3,2;808;0,52;218;1,83;318;1,26;
Russian Federation;France;24;1572;3,2;3513;2,26;218;11,01;1601;1,5;
Russian Federation;Georgia;1;1572;3,2;503;0,32;218;0,46;258;0,39;
Russian Federation;Germany ;41;1572;3,2;7974;5,13;218;18,81;3700;1,11;
Russian Federation;Greece;8;1572;3,2;1848;1,19;218;3,67;844;0,95;
Russian Federation;Guatemala;1;1572;3,2;187;0,12;218;0,46;95;1,05;
Russian Federation;Hungary;2;1572;3,2;1694;1,09;218;0,92;775;0,26;
Russian Federation;India;218;1572;3,2;155501;100;218;100;80388;0,27;
Russian Federation;Indonesia;13;1572;3,2;7742;4,98;218;5,96;4116;0,32;
Russian Federation;Ireland;1;1572;3,2;925;0,59;218;0,46;477;0,21;
Russian Federation;Israel;32;1572;3,2;3125;2,01;218;14,68;1688;1,9;
Russian Federation;Italy;11;1572;3,2;3404;2,19;218;5,05;1452;0,76;
Russian Federation;Japan;3;1572;3,2;705;0,45;218;1,38;359;0,84;
Russian Federation;Jordan;4;1572;3,2;864;0,56;218;1,83;438;0,91;
Russian Federation;Kenya;1;1572;3,2;1637;1,05;218;0,46;818;0,12;
Russian Federation;Kyrgyzstan;1;1572;3,2;1521;0,98;218;0,46;821;0,12;
Russian Federation;Latvia;1;1572;3,2;655;0,42;218;0,46;255;0,39;
Russian Federation;Lebanon;2;1572;3,2;1029;0,66;218;0,92;544;0,37;
Russian Federation;Madagascar;1;1572;3,2;63;0,04;218;0,46;34;2,94;
Russian Federation;Malaysia;1;1572;3,2;3160;2,03;218;0,46;1760;0,06;
Russian Federation;Mauritius;1;1572;3,2;223;0,14;218;0,46;113;0,88;
Russian Federation;Mexico;1;1572;3,2;3465;2,23;218;0,46;1732;0,06;
Russian Federation;Moldova;7;1572;3,2;3146;2,02;218;3,21;1541;0,45;
Russian Federation;Mongolia;4;1572;3,2;331;0,21;218;1,83;169;2,37;
Russian Federation;Morocco;2;1572;3,2;1112;0,72;218;0,92;517;0,39;
Russian Federation;Netherlands;3;1572;3,2;3487;2,24;218;1,38;1579;0,19;
Russian Federation;New Zealand;3;1572;3,2;1482;0,95;218;1,38;827;0,36;
Russian Federation;Nicaragua;1;1572;3,2;33;0,02;218;0,46;2;50;
Russian Federation;Nigeria;1;1572;3,2;909;0,58;218;0,46;458;0,22;
Russian Federation;Norway;2;1572;3,2;779;0,5;218;0,92;348;0,57;
Russian Federation;Pakistan;88;1572;3,2;72899;46,88;218;40,37;36757;0,24;
Russian Federation;Palestine;2;1572;3,2;206;0,13;218;0,92;104;1,92;
Russian Federation;Peru;3;1572;3,2;919;0,59;218;1,38;498;0,6;
Russian Federation;Philippines;18;1572;3,2;13478;8,67;218;8,26;7059;0,25;
Russian Federation;Poland;27;1572;3,2;7145;4,59;218;12,39;3520;0,77;
Russian Federation;Portugal;7;1572;3,2;2963;1,91;218;3,21;1682;0,42;
Russian Federation;Qatar;1;1572;3,2;374;0,24;218;0,46;257;0,39;
Russian Federation;Romania;181;1572;3,2;92390;59,41;218;83,03;48482;0,37;
Russian Federation;Russian Federation;129;1572;3,2;28357;18,24;218;59,17;14718;0,88;
Russian Federation;Serbia;37;1572;3,2;10957;7,05;218;16,97;5747;0,64;
Russian Federation;Serbia + Montenegro (old);3;1572;3,2;699;0,45;218;1,38;393;0,76;
Russian Federation;Singapore;2;1572;3,2;2154;1,39;218;0,92;1182;0,17;
Russian Federation;Slovakia;1;1572;3,2;631;0,41;218;0,46;306;0,33;
Russian Federation;South Africa;2;1572;3,2;2355;1,51;218;0,92;1027;0,19;
Russian Federation;Spain;8;1572;3,2;4028;2,59;218;3,67;1948;0,41;
Russian Federation;Sri Lanka;21;1572;3,2;6306;4,06;218;9,63;2884;0,73;
Russian Federation;Sweden;4;1572;3,2;3060;1,97;218;1,83;1468;0,27;
Russian Federation;Switzerland;1;1572;3,2;736;0,47;218;0,46;333;0,3;
Russian Federation;Syrian Arab Republic;2;1572;3,2;360;0,23;218;0,92;137;1,46;
Russian Federation;Tunisia;6;1572;3,2;1968;1,27;218;2,75;825;0,73;
Russian Federation;Turkey;6;1572;3,2;4827;3,1;218;2,75;2421;0,25;
Russian Federation;Ukraine;108;1572;3,2;27775;17,86;218;49,54;13875;0,78;
Russian Federation;United Arab Emirates;6;1572;3,2;2335;1,5;218;2,75;1226;0,49;
Russian Federation;United Kingdom;48;1572;3,2;29927;19,25;218;22,02;14558;0,33;
Russian Federation;United States;196;1572;3,2;105420;67,79;218;89,91;64074;0,31;
Russian Federation;Uruguay;2;1572;3,2;1500;0,96;218;0,92;923;0,22;
Russian Federation;Uzbekistan;2;1572;3,2;393;0,25;218;0,92;208;0,96;
Russian Federation;Vietnam;23;1572;3,2;9827;6,32;218;10,55;4529;0,51;
Saint Kitts and Nevis;Canada;4;11;0;25485;16,39;4;100;14440;0,03;
Saint Kitts and Nevis;India;3;11;0;155501;100;4;75;80388;0;
Saint Kitts and Nevis;Malaysia;1;11;0;3160;2,03;4;25;1760;0,06;
Saint Kitts and Nevis;Pakistan;1;11;0;72899;46,88;4;25;1320;0,08;
Saint Kitts and Nevis;United States;2;11;0;105420;67,79;4;50;80388;0;
Saint Lucia;Bangladesh;1;70;0,1;17468;11,23;18;5,56;8416;0,01;
Saint Lucia;Cambodia ;1;70;0,1;189;0,12;18;5,56;91;1,1;
Saint Lucia;Egypt;5;70;0,1;17182;11,05;18;27,78;8809;0,06;
Saint Lucia;India;8;70;0,1;155501;100;18;44,44;80388;0,01;
Saint Lucia;Indonesia;1;70;0,1;7742;4,98;18;5,56;4116;0,02;
Saint Lucia;Mexico;1;70;0,1;3465;2,23;18;5,56;1732;0,06;
Saint Lucia;Pakistan;13;70;0,1;72899;46,88;18;72,22;36757;0,04;
Saint Lucia;Romania;9;70;0,1;92390;59,41;18;50;48482;0,02;
Saint Lucia;Sri Lanka;13;70;0,1;6306;4,06;18;72,22;2884;0,45;
Saint Lucia;United States;18;70;0,1;105420;67,79;18;100;64074;0,03;
Saint Vincent and the Grenadines;India;1;4;0;155501;100;2;50;80388;0;
Saint Vincent and the Grenadines;Pakistan;1;4;0;72899;46,88;2;50;36757;0;
Saint Vincent and the Grenadines;Saint Vincent and the Grenadines;2;4;0;81;0,05;2;100;29;6,9;
San Marino;Bangladesh;1;3;0;17468;11,23;1;100;8416;0,01;
San Marino;Pakistan;1;3;0;72899;46,88;1;100;36757;0;
San Marino;Romania;1;3;0;92390;59,41;1;100;48482;0;
Saudi Arabia;;3;1460;3;0;0;275;1,09;1527;0,2;
Saudi Arabia;Algeria;1;1460;3;202;0,13;275;0,36;89;1,12;
Saudi Arabia;Argentina;12;1460;3;12720;8,18;275;4,36;6839;0,18;
Saudi Arabia;Armenia;2;1460;3;1985;1,28;275;0,73;1066;0,19;
Saudi Arabia;Australia;14;1460;3;9761;6,28;275;5,09;5051;0,28;
Saudi Arabia;Austria;3;1460;3;602;0,39;275;1,09;279;1,08;
Saudi Arabia;Azerbaijan;2;1460;3;823;0,53;275;0,73;493;0,41;
Saudi Arabia;Bangladesh;55;1460;3;17468;11,23;275;20;8416;0,65;
Saudi Arabia;Belarus ;2;1460;3;3044;1,96;275;0,73;1391;0,14;
Saudi Arabia;Belgium ;1;1460;3;1653;1,06;275;0,36;853;0,12;
Saudi Arabia;Bosnia and Herzegowina;1;1460;3;1563;1,01;275;0,36;800;0,13;
Saudi Arabia;Brazil;5;1460;3;4834;3,11;275;1,82;2612;0,19;
Saudi Arabia;Bulgaria;17;1460;3;9387;6,04;275;6,18;4695;0,36;
Saudi Arabia;Canada;36;1460;3;25485;16,39;275;13,09;14440;0,25;
Saudi Arabia;China;32;1460;3;7801;5,02;275;11,64;3871;0,83;
Saudi Arabia;Colombia;4;1460;3;889;0,57;275;1,45;524;0,76;
Saudi Arabia;Croatia;5;1460;3;2778;1,79;275;1,82;280;1,79;
Saudi Arabia;Czech Republic;1;1460;3;1181;0,76;275;0,36;175;0,57;
Saudi Arabia;Dominican Republic;4;1460;3;752;0,48;275;1,45;412;0,97;
Saudi Arabia;Ecuador;3;1460;3;790;0,51;275;1,09;459;0,65;
Saudi Arabia;Egypt;65;1460;3;17182;11,05;275;23,64;8809;0,74;
Saudi Arabia;Former Yugoslav Republic Of Macedonia;2;1460;3;1198;0,77;275;0,73;624;0,32;
Saudi Arabia;France;5;1460;3;3513;2,26;275;1,82;1601;0,31;
Saudi Arabia;Germany ;25;1460;3;7974;5,13;275;9,09;3700;0,68;
Saudi Arabia;Greece;5;1460;3;1848;1,19;275;1,82;844;0,59;
Saudi Arabia;Honduras;1;1460;3;89;0,06;275;0,36;46;2,17;
Saudi Arabia;Hungary;6;1460;3;1694;1,09;275;2,18;775;0,77;
Saudi Arabia;India;275;1460;3;155501;100;275;100;80388;0,34;
Saudi Arabia;Indonesia;7;1460;3;7742;4,98;275;2,55;4116;0,17;
Saudi Arabia;Ireland;2;1460;3;925;0,59;275;0,73;477;0,42;
Saudi Arabia;Israel;2;1460;3;3125;2,01;275;0,73;1688;0,12;
Saudi Arabia;Italy;17;1460;3;3404;2,19;275;6,18;1452;1,17;
